id,label,word_count,sentence_count,avg_sentence_len,avg_word_len,type_token_ratio,noun_count,verb_count,adj_count,adv_count,noun_ratio,verb_ratio,nominal_lemma_count,nominal_lemma_ratio,nominal_suffix_count,top_collocation,top_collocation_pmi
ai_1,1,205,7,29.29,4.49,0.5122,64,15,28,7,0.3122,0.0732,0,0.0,4,p e,5.364606762152034
human_2,0,161,6,26.83,4.11,0.559,27,26,11,5,0.1677,0.1615,1,0.037,5,,0.0
ai_3,1,284,13,21.85,4.06,0.3521,63,37,25,1,0.2218,0.1303,7,0.1111,6,co sign,4.695404377540185
human_4,0,83,5,16.6,3.71,0.6386,17,11,6,4,0.2048,0.1325,0,0.0,1,,0.0
ai_5,1,241,11,21.91,4.17,0.4149,62,35,20,7,0.2573,0.1452,0,0.0,3,income ratio,4.5969599819640425
human_6,0,150,10,15.0,4.41,0.6733,37,19,6,6,0.2467,0.1267,0,0.0,4,,0.0
ai_7,1,203,10,20.3,4.57,0.4433,59,23,15,6,0.2906,0.1133,0,0.0,7,a company,3.9720206334774653
ai_8,1,303,14,21.64,4.9,0.4719,88,35,29,14,0.2904,0.1155,0,0.0,10,,0.0
human_9,0,220,12,18.33,4.39,0.5727,49,19,26,9,0.2227,0.0864,0,0.0,11,,0.0
ai_10,1,369,15,24.6,4.65,0.3767,98,32,46,11,0.2656,0.0867,1,0.0102,16,interest only,4.383493360951466
human_11,0,433,27,16.04,4.31,0.4388,90,62,29,25,0.2079,0.1432,1,0.0111,15,they will,4.439630832402619
ai_12,1,268,11,24.36,4.01,0.4104,47,45,24,11,0.1754,0.1679,1,0.0213,5,how much,5.749554354340629
ai_13,1,134,8,16.75,5.38,0.5597,50,18,17,5,0.3731,0.1343,1,0.02,4,exchange rates,4.006506617522957
human_14,0,171,9,19.0,4.53,0.5789,49,18,16,6,0.2865,0.1053,0,0.0,8,,0.0
ai_15,1,198,6,33.0,4.73,0.4646,72,21,20,5,0.3636,0.1061,0,0.0,3,common stock,4.46673641926053
human_16,0,83,4,20.75,4.47,0.7229,31,12,3,1,0.3735,0.1446,1,0.0323,7,,0.0
ai_17,1,163,5,32.6,4.88,0.5521,44,16,17,8,0.2699,0.0982,3,0.0682,4,,0.0
human_18,0,73,4,18.25,4.45,0.8493,17,6,5,12,0.2329,0.0822,0,0.0,1,,0.0
ai_19,1,121,4,30.25,4.98,0.5702,42,10,12,3,0.3471,0.0826,4,0.0952,2,,0.0
human_20,0,172,11,15.64,4.35,0.5988,37,22,17,10,0.2151,0.1279,2,0.0541,10,,0.0
ai_21,1,342,12,28.5,4.38,0.4298,77,37,42,15,0.2251,0.1082,1,0.013,27,down payment,4.837114600026467
human_22,0,111,8,13.88,4.41,0.6757,31,9,12,7,0.2793,0.0811,0,0.0,4,,0.0
ai_23,1,110,5,22.0,4.59,0.6727,34,12,9,1,0.3091,0.1091,0,0.0,3,,0.0
human_24,0,322,12,26.83,4.36,0.4379,74,35,23,16,0.2298,0.1087,2,0.027,6,check number,4.335404269106931
ai_25,1,122,5,24.4,4.58,0.5164,28,16,11,4,0.2295,0.1311,0,0.0,6,,0.0
ai_26,1,207,10,20.7,4.85,0.4541,53,34,28,3,0.256,0.1643,11,0.2075,11,check stock,4.00003366967434
ai_27,1,132,5,26.4,4.47,0.5833,36,16,11,6,0.2727,0.1212,0,0.0,2,,0.0
human_28,0,316,14,22.57,4.64,0.5222,96,32,25,9,0.3038,0.1013,7,0.0729,5,,0.0
